#Drugs	Distance	Num_targets
Lepirudin	1.0	1
Bivalirudin	1.0	1
Leuprolide	1.0	1
Sermorelin	1.0	1
Darbepoetin alfa	1.0	1
Erythropoietin	1.0	1
Salmon Calcitonin	1.0	1
Thyrotropin alfa	1.0	1
Anakinra	1.0	1
Oprelvekin	1.0	1
Lutropin alfa	1.0	1
Lyme disease vaccine (recombinant OspA)	1.0	1
Adalimumab	-3.2188758248682006	1
Alpha-1-proteinase inhibitor	1.0	1
Pegademase bovine	1.0	1
Eptifibatide	1.0	1
Infliximab	-3.2188758248682006	1
Follitropin	1.0	1
Hyaluronidase	10000.0	1
Rituximab	1.0	1
Pegvisomant	1.0	1
Capromab pendetide	1.0	1
Felypressin	1.0	1
Urofollitropin	1.0	1
Abarelix	1.0	1
Technetium Tc-99m arcitumomab	1.0	1
Calcifediol	1.0	1
Pyridoxal	1.0	1
Ergocalciferol	1.0	1
Pyridoxine	1.0	1
Cholecalciferol	1.0	1
Pravastatin	2.0	1
Valsartan	1.0	1
Flunisolide	1.0	1
Pentagastrin	1.0	1
Esmolol	1.0	1
Ethchlorvynol	1.0	1
Carbidopa	1.0	1
Indecainide	1.0	1
Azithromycin	1.0	1
Ticlopidine	1.0	1
Trospium	1.0	1
Remikiren	1.0	1
Pantoprazole	1.0	1
Torasemide	2.0	1
Moxifloxacin	1.0	1
Oxyphenonium	1.0	1
Diflorasone	1.0	1
Guanadrel	1.0	1
Pregabalin	1.0	1
Reboxetine	1.0	1
Milrinone	2.0	1
Oxiconazole	2.0	1
Alclometasone	1.0	1
Medrysone	1.0	1
Anagrelide	2.0	1
Carmustine	1.0	1
Chlorotrianisene	1.0	1
Betazole	1.0	1
Olmesartan	1.0	1
Argatroban	1.0	1
Pamidronate	2.0	1
Clemastine	1.0	1
Conjugated estrogens	1.0	1
Travoprost	1.0	1
Ropivacaine	1.0	1
Tranexamic acid	1.0	1
Vindesine	1.0	1
Chlorthalidone	2.0	1
Gefitinib	1.0	1
Floxuridine	2.0	1
Tolcapone	-1.0986122886681098	1
Fluorometholone	1.0	1
Nitroprusside	1.0	1
Metformin	1.0	1
Cetirizine	1.0	1
Diltiazem	1.0	1
Trimethadione	0.0	1
Nitisinone	2.0	1
Clobazam	1.0	1
Chlorzoxazone	1.0	1
Vinorelbine	1.0	1
Palonosetron	1.0	1
Dydrogesterone	1.0	1
Valrubicin	1.0	1
Carbimazole	2.0	1
Digoxin	1.0	1
Beclomethasone dipropionate	1.0	1
Griseofulvin	2.0	1
Ceruletide	1.0	1
Alprazolam	1.0	1
Dexbrompheniramine	1.0	1
Acetohexamide	1.0	1
Metocurine Iodide	1.0	1
Phenoxymethylpenicillin	3.0	1
Miglustat	1.0	1
Methocarbamol	2.0	1
Triprolidine	1.0	1
Carboprost tromethamine	1.0	1
Trifluridine	2.0	1
Prochlorperazine	1.0	1
Allopurinol	2.0	1
Cerivastatin	2.0	1
Betamethasone	1.0	1
Teniposide	1.0	1
Chloramphenicol	1.0	1
Framycetin	1.0	1
Enoxacin	1.0	1
Methohexital	1.0	1
Chlordiazepoxide	1.0	1
Pefloxacin	1.0	1
Fosinopril	-0.6931471805599453	1
Entacapone	-1.0986122886681098	1
Zidovudine	1.0	1
Phenindione	1.0	1
Cimetidine	1.0	1
Ritonavir	2.0	1
Levallorphan	1.0	1
Acetyldigitoxin	1.0	1
Trandolapril	-0.6931471805599453	1
Bentiromide	1.0	1
Metolazone	2.0	1
Lercanidipine	1.0	1
Cyclophosphamide	2.0	1
Cefdinir	-2.3978952727983707	1
Benazepril	-0.6931471805599453	1
Fluorouracil	2.0	1
Desoximetasone	1.0	1
Zafirlukast	1.0	1
Propylthiouracil	2.0	1
Acetohydroxamic acid	-1.0986122886681098	1
Pentostatin	2.0	1
Hydroxyzine	1.0	1
Methotrexate	1.0	1
Cisatracurium	1.0	1
Enalapril	-0.6931471805599453	1
Nizatidine	1.0	1
Cinalukast	1.0	1
Piperazine	1.0	1
Ethosuximide	0.0	1
Ulobetasol	1.0	1
Monobenzone	2.0	1
Metaraminol	1.0	1
Amodiaquine	2.0	1
Paramethadione	2.0	1
Triamcinolone	1.0	1
Oxandrolone	1.0	1
Dexmedetomidine	1.0	1
Clofibrate	1.0	1
Dyclonine	1.0	1
Latanoprost	1.0	1
Flumethasone	1.0	1
Nilutamide	1.0	1
Pirenzepine	1.0	1
Chlorpropamide	2.0	1
Aprepitant	1.0	1
Losartan	1.0	1
Moricizine	1.0	1
Trovafloxacin	1.0	1
Nicergoline	1.0	1
Eplerenone	2.0	1
Lamivudine	2.0	1
Ibandronate	2.0	1
Norethisterone	1.0	1
Adefovir Dipivoxil	2.0	1
Azatadine	1.0	1
