HGNC ID	Status	Approved symbol	Approved name	Previous symbol	Ensembl gene ID	NCBI gene ID
HGNC:5	Approved	A1BG	alpha-1-B glycoprotein		ENSG00000121410	1
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	NCRNA00181	ENSG00000268895	503538
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	A1BGAS	ENSG00000268895	503538
HGNC:37133	Approved	A1BG-AS1	A1BG antisense RNA 1	A1BG-AS	ENSG00000268895	503538
HGNC:24086	Approved	A1CF	APOBEC1 complementation factor		ENSG00000148584	29974
HGNC:7	Approved	A2M	alpha-2-macroglobulin		ENSG00000175899	2
HGNC:27057	Approved	A2M-AS1	A2M antisense RNA 1		ENSG00000245105	144571
HGNC:23336	Approved	A2ML1	alpha-2-macroglobulin like 1	CPAMD9	ENSG00000166535	144568
HGNC:41022	Approved	A2ML1-AS1	A2ML1 antisense RNA 1		ENSG00000256661	100874108
HGNC:41523	Approved	A2ML1-AS2	A2ML1 antisense RNA 2		ENSG00000256904	106478979
HGNC:8	Approved	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP	ENSG00000256069	3
HGNC:30005	Approved	A3GALT2	alpha 1,3-galactosyltransferase 2	A3GALT2P	ENSG00000184389	127550
HGNC:18149	Approved	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	P1	ENSG00000128274	53947
HGNC:17968	Approved	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase		ENSG00000118017	51146
HGNC:1	Entry Withdrawn	A12M1	adenovirus-12 chromosome modification site 1C			
HGNC:2	Entry Withdrawn	A12M2	adenovirus-12 chromosome modification site 1A			
HGNC:3	Entry Withdrawn	A12M3	adenovirus-12 chromosome modification site 1B			
HGNC:4	Entry Withdrawn	A12M4	adenovirus-12 chromosome modification site 17			
HGNC:13666	Approved	AAAS	aladin WD repeat nucleoporin		ENSG00000094914	8086
HGNC:12	Entry Withdrawn	AABT	amino acid transport, beta			
HGNC:21298	Approved	AACS	acetoacetyl-CoA synthetase		ENSG00000081760	65985
HGNC:18226	Approved	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSL	ENSG00000250420	729522
HGNC:17	Approved	AADAC	arylacetamide deacetylase		ENSG00000114771	13
HGNC:24427	Approved	AADACL2	arylacetamide deacetylase like 2		ENSG00000197953	344752
HGNC:50301	Approved	AADACL2-AS1	AADACL2 antisense RNA 1		ENSG00000242908	101928142
HGNC:32037	Approved	AADACL3	arylacetamide deacetylase like 3		ENSG00000188984	126767
HGNC:32038	Approved	AADACL4	arylacetamide deacetylase like 4		ENSG00000204518	343066
HGNC:50305	Approved	AADACP1	arylacetamide deacetylase pseudogene 1		ENSG00000240602	201651
HGNC:17929	Approved	AADAT	aminoadipate aminotransferase		ENSG00000109576	51166
HGNC:25662	Approved	AAGAB	alpha and gamma adaptin binding protein		ENSG00000103591	79719
HGNC:19679	Approved	AAK1	AP2 associated kinase 1		ENSG00000115977	22848
HGNC:30205	Approved	AAMDC	adipogenesis associated Mth938 domain containing	C11orf67	ENSG00000087884	28971
HGNC:18	Approved	AAMP	angio associated migratory cell protein		ENSG00000127837	14
HGNC:19	Approved	AANAT	aralkylamine N-acetyltransferase		ENSG00000129673	15
HGNC:15886	Approved	AAR2	AAR2 splicing factor	C20orf4	ENSG00000131043	25980
HGNC:33842	Approved	AARD	alanine and arginine rich domain containing protein	C8orf85	ENSG00000205002	441376
HGNC:20	Approved	AARS1	alanyl-tRNA synthetase 1	AARS	ENSG00000090861	16
HGNC:49894	Approved	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	AARSP1	ENSG00000249038	106480683
